Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
What is your company’s mission?	Our company aims to realize the full potential of the internet -- universal access to research and education, full participation in culture -- to drive a new era of development, growth, and productivity.	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[]	21
What are your company values?	Our company aims to realize the full potential of the internet -- universal access to research and education, full participation in culture -- to drive a new era of development, growth, and productivity.	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[]	21
What is the recruitment process?	We recruit new applicants two times a year, during the beginning of January and beginning of September. First, applicants must prepare an application package with your resume and complete the application questions on [www.notacompanywebsite.com](http://www.notacompanywebsite.com) . For software development positions, there will be a coding challenge to complete, and finally, there is an interview process.\n\nClick below for more details on recruitment:	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[{"displayOrder":0,"qnaId":36,"displayText":"Application Packages"},{"displayOrder":0,"qnaId":37,"displayText":"Coding Challenges"},{"displayOrder":0,"qnaId":38,"displayText":"Interview Preparation"},{"displayOrder":0,"qnaId":39,"displayText":"Co-Op Applicants"}]	22
How is the job application?	We recruit new applicants two times a year, during the beginning of January and beginning of September. First, applicants must prepare an application package with your resume and complete the application questions on [www.notacompanywebsite.com](http://www.notacompanywebsite.com) . For software development positions, there will be a coding challenge to complete, and finally, there is an interview process.\n\nClick below for more details on recruitment:	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[{"displayOrder":0,"qnaId":36,"displayText":"Application Packages"},{"displayOrder":0,"qnaId":37,"displayText":"Coding Challenges"},{"displayOrder":0,"qnaId":38,"displayText":"Interview Preparation"},{"displayOrder":0,"qnaId":39,"displayText":"Co-Op Applicants"}]	22
How do I apply?	We recruit new applicants two times a year, during the beginning of January and beginning of September. First, applicants must prepare an application package with your resume and complete the application questions on [www.notacompanywebsite.com](http://www.notacompanywebsite.com) . For software development positions, there will be a coding challenge to complete, and finally, there is an interview process.\n\nClick below for more details on recruitment:	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[{"displayOrder":0,"qnaId":36,"displayText":"Application Packages"},{"displayOrder":0,"qnaId":37,"displayText":"Coding Challenges"},{"displayOrder":0,"qnaId":38,"displayText":"Interview Preparation"},{"displayOrder":0,"qnaId":39,"displayText":"Co-Op Applicants"}]	22
When are you accepting applicants?	For Winter 2021 co-op positions, applications will be available from the beginning of September to late December of 2020\. Be sure to keep track of the deadlines for application submissions!	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[]	23
What does your company do?	NotaCompany is a leader in implementing Artificial Intelligence in the fintech industry. We are developing AI cloud services for many clients to manage financial transactions.	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[]	24
What is NotACompany?	NotaCompany is a leader in implementing Artificial Intelligence in the fintech industry. We are developing AI cloud services for many clients to manage financial transactions.	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[]	24
What are you?	NotaCompany is a leader in implementing Artificial Intelligence in the fintech industry. We are developing AI cloud services for many clients to manage financial transactions.	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[]	24
What teams are there in the company?	We have many teams in our company, from software to business to analytics.	https://github.com/jieying-l/erin-bot/raw/master/Question-and%20Answer%20Pairs%20for%20KB.docx		[]	false	[{"displayOrder":0,"qnaId":26,"displayText":"Team Breakdown"}]	25
